Account,Token Account,Quantity,Percentage
vL9NAHsVTrDLsuB8ERAUJYek48y5KBu5ZELs6SWoamy,7ZMUuGDqwkZwX5feNzaDCpV3DJS7AFF5bPpezSZeVef6,420809.19,0.04
8qDDVuqR3r7towaC2ciKSMpsRibSXEqdVbuwufD3Me7x,HoqwYindDGKEWs13jL5DPUy4DnHuZTFsJ2nT9D4kYKL2,417978.05,0.04
GWydiH1dvWxhP81vh8wVVCPi4eJ8CBFPk68R7wJbPEf7,8esYwu7W37cK2LVurMfxDsZFJD4FpGvZ39P9KjouK7or,415743.64,0.04
3pwHLJvv7MB1492K6fZQeCnm6T2yZv62gsNQ7kUTYsmg,8UQU7UvxjaCpWiFk1fX2mrqSaBLeUyzrbTfmEnSYkm3F,414303.45,0.04
Bp47UcPZsfYukfsbgHth1BuPuuPo9MZckwfHoWSQj4vr,HJiw34oxSNsXTc7x7UXDLEc8sJ5em3GfxNsV7Jo7YEGB,414292.83,0.04
AauGTfyYksnYpe5J1T2ydPhygj6bASKEEXHcvq3YV9em,FsGg3XwcYLx9MYaBMTUUyu3dskha4VgFfDwbcTbjgZE9,408043.25,0.04
E5ELdq7j5EfkpWDPpKXsLc5pPyAam8mFzM97ji24gLjb,6FJav8D16Pa8mmtTv2Pzi7YkWma8z9YbCNbeBouz9XM2,405897.47,0.04
4wLgnpmQE3zShG5jJ64zK87k4kpmBDx1k3BetnjMKJbq,6BshDLNttGtcwkyLtss79X15j7uzFffwTPqd2Uod2UJ8,382263.51,0.04
9GH3nNgNA3zdxTP9A3zjeQLJQbTHRFoFgVpwFy1peumH,Ayd6rbedK3vdvY7oTUcWu3vHpakD5zEChsdJBCcrz541,377717.51,0.04
EqUdBVHAkviMP2zHXShtcb4GpbxS3x48e3zJb7QdQqyk,5PKa2Rt4jWK9Aa5g9TFZon1BDiDbhqnZXCj8uvjuUrrP,371733.69,0.04
9MnMya37JBxc9RtitJ2NgEJorw575XBeLcXHiDtfJnUB,4yWhVxsd8B9ncqhEtCuf9VhhitbUhWyvvmh2aYXS58X6,359773.98,0.04
AXKW7WejR1G4APXSAmA311HZAvuJiMhg6mTagcffbhyh,CZ9kYc9VM3QTQd3aMztfywCm6BkyTxRZDLVbW5RywQSG,323423.59,0.03
EGNknQSCmjtAhyfFeCffqBGjsJAqTykYNEQtmWDjSmnQ,GNezJu1i4raur5exHa6kumyGJbhz9d3GjcNkApBHAHsE,316568.86,0.03
86wmyWpALouW2zZmUiFiczuxqFvFR6qhpfoQfn6d2BFT,KKzSd3Km5Th89BS4ktcvAED1DPrvYpKr4fmhSWg3Fdn,295769.97,0.03
5yBoNS8H2pygTBSvtpFWYicpmxdNeN5jGrT17sJZyycx,GTHKcmgP5D9DGXZ7PYkUggQmssYrZ3nbzuK2FW781TjW,281401.98,0.03
AaZtBdv6ye6WTAN41SGgB6hwGKxgDnHJAXhmYW6TyXcL,DURBWywwygfBibpyfvu2ZcCP8iDPdn8sWSAQnyDTZPuk,273505.31,0.03
HWLFivNL3uvbdqJvrdzBY88bC7a462vo1Rk6HuSSjZfC,GZFb4V9esZGb22RV5z2Bt11sF8coZ43u2rjNZKuHD41R,261037.82,0.03
Cnzi1fUiN6v5y8CMJhbPWte3KhR3PeKdUvViByyE59oX,2JqgPvztH5EHEpYLVknwpmMzbhq8FCYt9PviCwB1rWzZ,259397.6,0.03
6Qy7VgEuNTbawCFPi1BMGtLkBDfVTwGYnDo9LC453vrs,HVC8bvofV1wYiE9nwzEDNRgPh5dSm2nd3R4TAT9fEPV5,251920.37,0.03
HZ67XnfGF6Dqd9x5C9f7Hm1GfyEAsBNP8RZRopAMvZL,F4WtVoguSb37Dp6QqbcjyD22myucXQ3NyZJNoQaJXeQd,237056.73,0.02
96iG9kD4fRdV38R1pHvH5uytPC7vZUKzQiBQoMoh4BJr,2ReKtGY7ztasZZxMsmWWqHWQ2Frgq2QtkSfvD7ikWdCy,232360.22,0.02
HxmEcQ9ASQER4R61FhRpJq5VQn8JFh1VFxYAhMDV1bk2,G3dAbbdZV9L76T34yzhiQQZPLiES4hfqKeMWW7eSaWZY,231110.4,0.02
8xiSpN3WizChDjeoaEUcLXC5vnk3KbEZf2kqZz6Ct8Ct,AXM2P2vYFa1zu5i9FP7pA5bgGkJfB3qYCg9LnmCR932y,230941.32,0.02
4mnJT4zWeue2z5rkBMyr7JKTYo61vuCiEAQWCgDFmPyU,28CqYvSJMh4RfappJMVvmbtTq2gWZCtwZMjEJVxfTvvF,229958.02,0.02
BMEcSY836CjEZLVtdYP9jSXLQc6EejqNfXHc2ED6geHG,BKxDtjKZqcZAk4BcGzwQdzPMk5g6nnrQMicfGM5BzTpZ,227237.27,0.02
4uCfim3p2knGCa8yTLUy4ufxQhZtExNe4ZEo7BooHdMF,Cb1jc8BuuAqJk9A2oqiTjrxKXzikqguenFdqqMrtJLTF,219289.39,0.02
2AyCHuWmLfoF8yJ9QzZet9mwAgxwMcoQbvbLhc5cup2L,8hcw7viyyCdEyxF6gGDNECHRyyXbqmYGEFfcumZ5aKGV,217150.23,0.02
AMuR5VvHQiKzzwzK9gDAKYLRgMLL5MjRWV2UiaoGxaX2,RS4sKJffi1k8gy1x1r9vh7L32SQ4dfJ4ckhVmvVNpwu,215211.17,0.02
DeGCE6EQ7MGnYFrZ271o5xESf4SPDKPCowdYH8kyKm3L,4Ftmx5rZ5iVUtLNyDRcfzGPfbBHJQedrBvgjHj7g1Pa7,213302.83,0.02
2wgjUeMB9rWA2cwCb6rdUEfdirbj5qD4Gp5CncpnbPEv,ATegaaVWY3Ttp9LEY3eP7gvedDodDbrHLdy8bMS8s7Ek,206465.43,0.02
HbkrjHYu5TVzXTjeEgwkRDpAjsFBsyvQdTs7u2kFinnX,Bftk93iUiAJzkVrixdpyGpjvrQrgDFT8tcwQNBQh4VY3,206158.18,0.02
8JKjxENAMpLZoCd5NfZyMhUS23JnZUiXTsG1a5vSjzxS,7a7nkW7kecw9UaQ8uZ2QCXcPeQJwKKgoWQWqWkifTRHg,201054.48,0.02
82vnacjiFok4eirRWPxzgF9S7sN2FG3dYKjYc2XpS8UP,8kaZ7SCZgQNPToSPPY2x4c1Ruy84gMnTTVALd6cTxwsf,199965.52,0.02
4jiksvUvkABWqG6kALATa66YvLLPXvZ51RJMfuYumaCC,HjmEJzkzKddytHhuX4EPEDdFFTdrRE4xLMr5eRSp7gUy,198960.44,0.02
4de2gWiNmcGFcW9naTBept8tk7kyD2xb7q5FYaQUWtWW,Hvu22rSwzZGWSMTPA2Gx9RBuBQyL5GRtnhb8FLYPvcU4,195971.32,0.02
DoVAhJ93hzrj8kCb5JmNMHab3Ppzx5HurPw3jZWuyjnK,FTjn78Zs7acsSEY1ysTSLoxNPezoB1tYftbciWxD1g7,195184.27,0.02
EBuBfrxW8rair9QCAHcwhbY4eYy3LKErtTnwvW5JhcLe,Dvk2tiXwRcdBZAJod2ehc76UQd1QUk3GobauPQuSL5TU,193165.13,0.02
FqSBhbGbsuZ9gbRicgPauaYC9RZa52sxAetXJF48QmvU,R4HnjbWXcqQXngYKWBNnFKaDnwATScMYffs59o6wjrZ,192077.14,0.02
HEbMSpME4zc3d7rXSuFggaSXxs1dfZgWFFu11nwvjYYc,AmqCnkwW79amGUw9z2sLJCGxSWTxeY3CAPYdyY8zV3Pi,190837.85,0.02
u2DvV5YbvN5uNQrYjtfUtKfQ3jHWF9nT2wUnac3xyAG,6RTTK5bSojPXoeExUAEKdXUqRCzq4CmoWphqZqRKqUt5,182756.8,0.02
DJRgkexrqakvBkvQZ4PvgFyVfveH2tHZkW8x34EwvJ7L,5EFmZeuLacwLHy2p2e9MwpR8HHVAuLrppKWpBUKyWE4M,181665.94,0.02
6PTm1etzjkiKHWdTa7wBGHDvS6DHFySkDZwS8EctUF26,3h6np1CfKVMpv71DfpR8Mk1AKdU1KaPrvcSfNv3uS6uD,177722.78,0.02
